response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
1,18 - 29,mail service,,Work;Academic,,Email;Calendar;Groups;Tasks;Notes;Meetings,None,Yes,mail app,None,5,
2,18 - 29,Slowness. When I used it for work it couldn't handle the volume of emails,Compose new message icon,Work,,Email;Meetings,Google ecosystem,No,I liked the flags feature,"Slowness, crashing.  I prefer a web based client",2,
3,50 - 64,"email, huge time sink/waste of time",do not recall,Work;Academic,,Email;Calendar;Meetings,"google mail, google calendar, Trello, Wrike, (task managers)",No,"ubiquitous, (reasonably) easy to use (mostly because familiar)","ubiquitous, compelled to use by work",3,
4,40 - 49,email,,Work,,Email;Calendar,Google calendar,No,It's a sub-par email client.. I use it because I have to,It's a sub-par email client.. I use it because I have to,2,
5,18 - 29,Email,Send icon,Work,,Email;Calendar;Meetings,Skype for Business,No,It's a basic email interface that is familiar,It crashes frequently or has trouble getting connected. Reliability can be poor.,3,
6,30 - 39,Documents,File,Work;Academic,,Email;Calendar,None,No,Calendar,Installing updates,3,None
7,30 - 39,An email client mostly used in businesses.,"Non in particular, maybe the compose button?",Work,,Email,"Notes, Tasks, Calendar",No,The rubbin UI in quite nice on the MacOS platform.,Can sometimes feel a bit too complex for just an email client. ,3,
8,30 - 39,Work,Mail Icon,Work,,Email;Calendar;Tasks;Meetings,Calendar on my mobile device,Yes,"Easy to organize folders, good calendar",hard to find old emails,4,
9,18 - 29,Mailing Service,Blue ,Work,,Email;Calendar;Meetings,Gmail,Yes,In time mails and meeting notifications,Rules making can be improved,4,
10,18 - 29,email,email,Work,,Email;Calendar;Tasks;Meetings,none,Yes,"Easy interface, powerful features",Lack of notekeeping tool,4,
11,18 - 29,office emails,The message icon,Work,,Email;Calendar;Meetings,none,Yes,ease of use,too many tabs,3,
12,18 - 29,email,unread emails,Work,,Email;Calendar;Meetings,"gmail, google calendar, the calendar on my phone, the task list on my phone",No,I like that the emails and calendar are both in the same place and easy to navigate from one to the other.,I dislike the way that emails are archived. I can never find where they go even though I set the folder.,3,
13,50 - 64,The mail app,Don’t understand he meaning of the question ,Work;Academic;Personal,,Email;Calendar;Meetings,Google Calender; Fantatical Calendar; Google Keep,Yes,Works well. Easy to talk with Microsoft support if needed. ,Slow on iPhone.  Mac and Windows versions are slightly different. ,4,
14,18 - 29,school emails,"compose new mail,  top right",Academic,,Email,n/a,No,I can easily manage multiple accounts,it's somewhat slow,4,
15,18 - 29,Bulky,,Work,,Email;Calendar;Groups;Meetings,Google calendar,No,"Business wise, it's good","Inconvenient. Software works superior than the web version; however, web email offers much more portability and usability, ",3,
16,40 - 49,It usually makes me feel a little sorry for the person that needs to use it,The 'New Item' icon,Work,,Email;Calendar;Meetings,I use Google products in the browser for my personal email/calendar.,No,It has good integration with other Microsoft products,It has too many options/features and uses too many system resources,3,
17,18 - 29,mail,launch icon,Work,,Email;Calendar;Meetings,reminders for meetings,Yes,calendar integration with mails,heavy on data,4,Could use categorization like gmail on outlook
18,30 - 39,My work email.,,Work,,Email;Calendar;Groups;Meetings,None that I know of.,No,"The connection between the calendar and inbox, and how easily it looks-up email addresses.",I wish the preview feature for attachments would allow the user a better view of the file.,4,"I like the email signature feature, but I found it a little tough to search for."
19,18 - 29,Difficult ,,Work,,Email;Calendar,IOS Notes and calendar ,No,Nothing,Clunky and clutter UI,3,
20,18 - 29,"outdated, but still needed for professional user.",,Work,,Email,i'm not sure I understand the question.,No,reading the emails,nothing comes to mind.,4,
21,18 - 29,Fear,,Work,,Email;Calendar;Tasks;Meetings,Skype for business,No,color coding categories,scheduling/updating meetings,2,
22,18 - 29,email box.,new email icon(envelope),Work;Academic,,Email;Calendar;Meetings,Skype 4 Business,Yes,It's accessibility.,confusing layout of available tools we can use in Outlook(too many tools),4,
23,30 - 39,email,message envelope,Work,,Email;Calendar,im not sure,No,calendar,interface,3,
24,30 - 39,"Uggg, why cant we just use Gmail? Google Services",Mobile App: Focused ; Chrome: Inbox,Work,,Email;Calendar;Meetings,Anything I do in Outlook gets copied over to Google where all of my work flow resides. ,No,Skype? IDK. Nothing really. ,I don't like the suite. I have been trained and become accustomed to using Gsuite,2,One big thing I think Outlook could do is some color coding of work flow and buttons. The theme is so monochromatic and for me that makes it difficult to differentiate between buttons and such
25,30 - 39,It seems alright,,Academic,,Email,None ,No,Neutra,I don't use outlook often ,3,
26,18 - 29,Work,,Work,,Email;Calendar;Meetings,Gmail calendar,No,"Meetings has improved considerably. I think setting up a meeting is now very easy, probably better than GMail.","Search, UI/UX bugs (in the browser app)",1,"I use the browser version, not the app."
27,40 - 49,email,envelope,Work,,Email;Calendar;Meetings,none,Yes,the way it organize my emails and calendar,nothing,5,
28,18 - 29,Ughh. Too many distracting features,,Work,,Email,"calendar, tasks and notes ",No,It gets the job done,It can be overwhelming when just trying to knock out emails,3,Outlook probably has features that would be great but I've never figured out how to best utilize them - such as from an email highlighting some sentence which turns into a calendar event in which I could add tasks too and link back to that email from the calendar event if needed.
29,18 - 29,its screen ,,Work;Personal,,Email;Tasks,emails ,No,its usability,the look,2,
30,18 - 29,Work email integration,,Work,,Email;Calendar;Meetings,google calendar,No,"some email server are worse than outlook, then connecting them to outlook saves time",its local; I have to make the same configuration for each workspace,4,
31,30 - 39,Email,Email,Work,Email,Email;Calendar;Groups;Tasks;Meetings,Email,Yes,Email,Email,4,Email
32,18 - 29,Schedule ,,Work,,Email;Calendar;Tasks,Gmail,Yes,Meetings ,Appointment ,3,
33,18 - 29,Email,Giant Email button in the center,Work;Academic;Personal,,Email,"Gmail, Slack",No,It's free,Convoluted interface,2,
34,40 - 49,email,mail,Work;Academic;Personal,,Email;Calendar;Meetings,instant messaging,Yes,easy of use,not interactive,5,best wishes
35,40 - 49,Great mobile app!,The launch icon,Personal,,Email,Google Calendar (but Outlook mobile it is integrated),Yes,Excellent integration with Google Mail,Nothing; I love their mobile product.,5,"I addressed the mobile app (which they acquired, and is integrated with Gmail), not their old-school desktop product."
36,18 - 29,email,,Work;Academic,,Email;Calendar;Groups,Gmail,No,checking email,"within email search facility is poor, not discoverable",3,
37,18 - 29,Microsoft,,Work,,Email;Calendar;Meetings,Gmail,No,It's not helping Google,Getting into the application online and syncing it on an android is sometimes annoying,2,
38,30 - 39,Email,new email,Work;Academic,,Email;Calendar,google calendar,No,its familiar,it tries to do too much and can be very glitchy,3,
39,18 - 29,Meeting,,Work,,Email;Calendar;Tasks;Meetings,na,Yes,many functions in one place,searching for content can be hard,4,
40,18 - 29,That your business requires you to use it. ,,Work,,Email;Calendar;Groups;Meetings,"Google's Calendar, Gmail, Hangouts. ",No,N/A,It's very outdated at this point. ,2,
41,30 - 39,"its not gmail, its terrible.",,Academic,,Email,none,No,nothing,that it cant integrate with my gmail.  i dont need 2 email apps,1,
42,30 - 39,Work,,Work,,Email;Calendar;Tasks;Meetings,Skype,Yes,Features sync together,N/a,4,
43,30 - 39,Email,regular outlook icon,Work,,Email;Calendar;Tasks,I dont use any supplement,Yes,It is very convenient to use for work related email,Nothing that I can think of right now,5,
44,18 - 29,Schedule,,Work,,Email;Calendar;Meetings,I don't know,Yes,"Schedule meetings, email services etc.",Not I can think of.,4,
45,18 - 29,Email,Letter,Work,,Email;Calendar;Tasks;Meetings,Group messages,No,Setting up meetings and integration with other microsoft apps,Hard to organize inbox to find relevant emails. Also hard to search,3,
46,18 - 29,Work,,Work,,Email;Calendar;Meetings,Skype,No,Simplicity ,The ability to address to everyone and slow down their computers,4,
47,18 - 29,Email,Reply,Work,,Email;Calendar;Meetings,n/a,Yes,All in One (email + meetings + calendar)  - Syncs with skype,notifications - could be better managed ,4,n/a
48,18 - 29,My Outlook calendar,,Work,,Email;Calendar;Meetings,N/A,No,"Integrated with my company directory - easy to look up people's contact info, see availability for meetings","Interface could be improved, it's buggy especially on Mac",4,
49,18 - 29,Annoying,Blue something in the background,Work,,Email;Meetings,"Evernote, pen and paper",No,"Nothing, other than it has become a learned behaviour and costs no effort to use now.",Meetings are always an ordeal and someone is always asking me to setup one properly.,1,
50,30 - 39,work email,,Work,,Calendar,none,No,"its fine for work, but overkill for my personal email",too many features,5,
51,18 - 29,business,cal,Work,,Email;Calendar,notes,No,UI,clutter,4,
52,18 - 29,needed for people who are busy who get many emails and have a hard time organizing,inbox,Work,,Email,none,Yes,interface is good,hangs sometimes,5,nothing much
53,40 - 49,"Old, white",Mail,Work,,Email;Calendar;Meetings,Gmail,No,Nothing.,It is too unstable.  It is too proprietary and cumbersome.,3,
54,30 - 39,business email app,reply icon in preview pane,Work,,Email;Calendar;Meetings,none,No,"intuitive, folder management, clean interface","sometimes hard to setup meetings, interface for setting up filters could be better",4,"I primarily use Outlook 2013 as a business application. I think I enjoy Outlook.com's new beta web interface better -- however the beta has a problem -- if you accidentally drop a folder into another folder it is impossible to gracefully un-nest the new subfolder. According to Microsoft: You can't change the order of folders under Folders, and you can't move sub-folders into the main Folders menu. Sub-folders must always be inside another folder. https://support.office.com/en-us/article/working-with-message-folders-in-outlook-com-6bb0723a-f39f-4a8d-bb3f-fab5dcc2510a"
55,30 - 39,It is an old method of email,,Work,,Email;Calendar;Tasks;Meetings,Google/GMail,No,I've used it for so many years that it is easy to navigate,Nothing,4,
56,30 - 39,Organized,,Work,,Email;Calendar;Meetings,Gmail,Yes,All linked and organized together ,Not much new features. ,2,
57,18 - 29,Email,Email,Work,Gmail,Tasks,OneNote,No,Clean interface,Microsoft,4,
58,30 - 39,Clunky boxes,,Academic,,Tasks,Thunderbird,No,Simple to look at,Too many options,3,
