Person,Sent,Response,Method,Delta
1,19:58:54,19:58:56,N,0:00:02
1,19:59:19,19:59:20,N,0:00:01
1,20:01:33,20:01:35,N,0:00:02
1,20:04:46,20:04:47,N,0:00:01
1,20:06:30,20:06:32,N,0:00:02
1,20:10:20,20:10:24,O,0:00:04
1,20:11:33,20:11:37,O,0:00:04
1,20:13:11,20:13:14,O,0:00:03
1,20:14:05,20:14:08,O,0:00:03
1,20:15:54,20:15:57,O,0:00:03
2,21:06:16,21:06:18,N,0:00:02
2,21:08:07,21:08:09,N,0:00:02
2,21:09:44,21:09:46,N,0:00:02
2,21:10:55,21:10:56,N,0:00:01
2,21:13:25,21:13:27,N,0:00:02
2,21:16:01,21:16:03,O,0:00:02
2,21:17:28,21:17:30,O,0:00:02
2,21:19:38,21:19:41,O,0:00:03
2,21:20:58,21:21:00,O,0:00:02
2,21:21:33,21:21:35,O,0:00:02
3,18:07:49,18:07:51,N,0:00:02
3,18:08:41,18:08:43,N,0:00:02
3,18:10:32,18:10:34,N,0:00:02
3,18:11:50,18:11:52,N,0:00:02
3,18:14:57,18:14:59,N,0:00:02
3,18:16:49,18:16:51,O,0:00:02
3,18:19:36,18:19:38,O,0:00:02
3,18:22:50,18:22:53,O,0:00:03
3,18:24:35,18:24:37,O,0:00:02
3,18:25:51,18:25:53,O,0:00:02
4,18:35:49,18:35:52,N,0:00:03
4,18:36:41,18:36:43,N,0:00:02
4,18:38:32,18:38:34,N,0:00:02
4,18:39:50,18:39:52,N,0:00:02
4,18:42:57,18:42:59,N,0:00:02
4,18:44:49,18:44:51,O,0:00:02
4,18:47:36,18:47:39,O,0:00:03
4,18:50:50,18:50:53,O,0:00:03
4,18:52:35,18:52:38,O,0:00:03
4,18:53:51,18:53:54,O,0:00:03
5,19:18:49,19:18:52,O,0:00:03
5,19:19:41,19:19:45,O,0:00:04
5,19:21:32,19:21:35,O,0:00:03
5,19:22:50,19:22:53,O,0:00:03
5,19:25:57,19:26:00,O,0:00:03
5,19:27:49,19:27:51,N,0:00:02
5,19:30:36,19:30:38,N,0:00:02
5,19:33:50,19:33:52,N,0:00:02
5,19:35:35,19:35:36,N,0:00:01
5,19:36:51,19:36:52,N,0:00:01
6,20:24:49,20:24:53,O,0:00:04
6,20:25:41,20:25:44,O,0:00:03
6,20:27:32,20:27:35,O,0:00:03
6,20:28:50,20:28:53,O,0:00:03
6,20:31:57,20:32:00,O,0:00:03
6,20:33:49,20:33:52,N,0:00:03
6,20:36:36,20:36:38,N,0:00:02
6,20:39:50,20:39:51,N,0:00:01
6,20:41:35,20:41:36,N,0:00:01
6,20:42:51,20:42:52,N,0:00:01
7,20:45:59,20:46:02,O,0:00:03
7,20:46:31,20:46:33,O,0:00:02
7,20:47:40,20:47:43,O,0:00:03
7,20:49:36,20:49:38,O,0:00:02
7,20:50:36,20:50:39,O,0:00:03
7,20:51:58,20:52:00,N,0:00:02
7,20:53:40,20:53:41,N,0:00:01
7,20:55:55,20:55:57,N,0:00:02
7,20:57:56,20:57:57,N,0:00:01
7,20:59:40,20:59:41,N,0:00:01
8,19:11:56,19:11:59,O,0:00:03
8,19:12:41,19:12:43,O,0:00:02
8,19:14:54,19:14:56,O,0:00:02
8,19:16:49,19:16:52,O,0:00:03
8,19:17:31,19:17:34,O,0:00:03
8,19:18:50,19:18:52,N,0:00:02
8,19:20:36,19:20:37,N,0:00:01
8,19:22:33,19:22:35,N,0:00:02
8,19:24:30,19:24:32,N,0:00:02
8,19:25:55,19:25:57,N,0:00:02
